,Date,truckid,nbags,net_weight,origin,supplier,moisture,nut_count,outturn,defective,price,year,month,day,avg_wpb
234,2016-03-17,7922GR01,367,34629,9,79,10.06,189.0,45.4,11.8,600.0,2016,3,17,94.35694822888283
235,2016-03-18,2081GA03,391,35489,82,107,13.2,195.0,46.37,16.1,600.0,2016,3,18,90.76470588235294
236,2016-03-18,5490GZ01,480,37532,66,43,11.9,196.0,47.87,15.0,600.0,2016,3,18,78.19166666666666
237,2016-03-18,9912FH03,469,40407,66,43,9.6,205.0,46.9,14.4,600.0,2016,3,18,86.15565031982942
238,2016-03-18,2951GY01,403,36721,87,43,13.2,194.0,47.16,13.2,600.0,2016,3,18,91.11910669975187
239,2016-03-18,1450FG01,485,39559,9,73,10.23,200.0,46.37,14.1,600.0,2016,3,18,81.56494845360825
240,2016-03-19,8111GB01,181,17899,32,32,9.8,190.0,46.64,16.0,590.0,2016,3,19,98.88950276243094
241,2016-03-19,730GH02,445,40295,66,44,14.1,200.0,49.93,14.0,600.0,2016,3,19,90.5505617977528
242,2016-03-19,4607FH01,440,38660,87,45,13.2,192.0,45.67,13.8,600.0,2016,3,19,87.86363636363636
243,2016-03-19,378FK01,427,37773,55,4,11.2,205.0,46.11,15.0,600.0,2016,3,19,88.46135831381733
